ds	drug	atc	icd
ds:H00026	dr:D00275	L01XA01	C54
ds:H00026	dr:D00951	L02AB02	C54
ds:H00026	dr:D00168	L01BC01	C54
ds:H00026	dr:D01275	L01DB01	C54
ds:H00026	dr:D02165	L01CD02	C54
ds:H00026	dr:D00491	L01CD01	C54
ds:H00027	dr:D00583	L01AC01	C56
ds:H00027	dr:D02168	L01XX17	C56
ds:H00027	dr:D01416	NA	C56
ds:H00027	dr:D00369	L01AA03	C56
ds:H00027	dr:D00341	L01XX05	C56
ds:H00027	dr:D07866	L01CD02	C56
ds:H00027	dr:D00584	L01BC02	C56
